"conformsTo","distribution.title","issued","modified","publisher.subOrganizationOf.name","landingPage","title","temporal","publisher.subOrganizationOf.type","publisher.subOrganizationOf.subOrganizationOf.name","distribution.mediaType","systemOfRecords","isPartOf","type","describedBy","distribution.describedBy","description","contactPoint.fn","publisher.type","primaryITInvestmentUII","publisher.subOrganizationOf.subOrganizationOf.subOrganizationOf.name","publisher.subOrganizationOf.subOrganizationOf.type","contactPoint.type","distribution.conformsTo","accessLevel","distribution.downloadURL","license","rights","spatial","publisher.name","distribution.format","contactPoint.hasEmail","distribution.accessURL","publisher.subOrganizationOf.subOrganizationOf.subOrganizationOf.type","distribution.type","accrualPeriodicity","dataQuality","identifier","keyword","bureauCode","language","programCode",""
,,,"2016-05-02","Department of Health & Human Services",,"  Emergency Response Readiness Force (ERRF)",,"org:Organization",,,,,"dcat:Dataset","http://intranet.acf.hhs.gov/nohsepr/docs/JAN%202012_SOI%20ACF%20Emergency%20Response%20Readiness%20force.pdf",,"Consistent with the ACF Strategic Initiative to “upgrade the capacity of the Administration for Children and Families to make a difference for families and communities by promoting resilience and facilitating recovery in children, youth, and communities impacted by disasters by developing and implementing an ACF Emergency Response Readiness Force (ERRF):”

The Office of Human Services Emergency Preparedness and Response (OHSEPR), in collaboration with the Regional Administrators and Regional Emergency Management Specialists (REMS) is recruiting ACF-wide (central and regional) to build a trained cadre of ACF volunteers ready, willing and able to deploy to disasters to provide or coordinate human services to assist with response and recovery of disaster survivors. Employees authorized to deploy, serve outside the confines of the Consolidated Collective Bargaining Agreement (CCBA) because of the emergency situation.
","admin","org:Organization",,,,"vcard-Contact",,"public",,"http://opendefinition.org/licenses/odc-odbl/",,,"Administration for Children and Families",,"mailto-HealthData@hhs.gov",,,,"R/P1D",,"b06699a0-5d79-4e65-ba56-f7f41c88cdd4","[""Emergency Preparedness and Response""]","[""000:00""]","[""en""]","[""009:000""]",
,,,"2016-04-05","Department of Health & Human Services",,"#DDOD Use Case: Access to Medicare Part D Drug Event File (PDE) for cost transparency",,"org:Organization",,,,,"dcat:Dataset","https://www.ccwdata.org/cs/groups/public/documents/datadictionary/data_dict_pde.xls",,"SUMMARY

DDOD use case to request access to Medicare Part D Drug Event File (PDE) for cost transparency to pharmacies and patients.

WHAT IS A USE CASE?

A “Use Case” is a request that was made by the user community because there were no available datasets that met their particular needs.  If this use case is similar to your needs, we ask that you add your own requirements to the specifications section.

The concept of a use case falls within the http://hhs.ddod.us Demand-Driven Open Data (DDOD) program and gives you a formalized way to identify what data you need.  It’s for anyone in industry, research, media, nonprofits or other government agencies.  Each request becomes a DDOD use case, so that it can be prioritized and worked on.

Use Cases also provide a wealth of insights about existing alternative datasets and tips for interpreting and manipulating data for specific purposes.

PURPOSE

The PDE data contain prescription drug costs and payment data that enable CMS to make payments to the plans and otherwise administer the Part D benefit. When a beneficiary fills a prescription under Medicare Part D, a prescription drug plan sponsor must submit a record to CMS. The PDE data are not the same as individual drug claim transactions but are extracts using CMS-defined standard fields.  The challenge is that this data is not available publicly, even with all PHI fields stripped out.  It resides in ResDAC/CCW, but has 1 year lag time and 3-4 months processing time.

VALUE

Central to operations for drug cost comparisons for use by pharmacists and consumers. Multiple companies are looking how to better manage costs.

USE CASE SPECIFICATIONS &amp; SOLUTION

Information about this use cases is maintained in a wiki: http://hhs.ddod.us/wiki/Use_Case_26:_Analyze_drug_cost_trends_from_filled_Medicare_Pard_D_prescriptionshttp://hhs.ddod.us/wiki/Use_Case_26:_Analyze_drug_cost_trends_from_fille...

It serves as a knowledge base.

USE CASE DISCUSSION FORUM

All communications between Data Users, DDOD Administrators and Data Owners are logged as discussions within GitHub issues: https://github.com/demand-driven-open-data/ddod-intake/issues/26https://github.com/demand-driven-open-data/ddod-intake/issues/26

It aims to provide complete transparency into the process and ensure the same message gets to all participants.

CASE STATUS

Open
","David Portnoy","org:Organization",,,,"vcard-Contact",,"public",,"http://opendefinition.org/licenses/odc-odbl/",,,"Centers for Medicare & Medicaid Services",,"mailto-david.portnoy@hhs.gov",,,,"R/P1M",,"92608043-d959-4ae3-be85-6b93b0c858e3","[""cms"",""DDOD use case"",""drug cost"",""drug event file"",""Medicare Part D"",""user request""]","[""009:38""]","[""en""]","[""009:000""]",
,,,"2016-04-05","Department of Health & Human Services",,"#DDOD Use Case: Consolidated reporting of medical device recalls",,"org:Organization",,,,,"dcat:Dataset","https://github.com/demand-driven-open-data/ddod-intake/blob/master/_data/use-case-6-data-dictionary.json",,"SUMMARY

DDOD use case request for consolidated, consistent reporting of medical device recalls.

WHAT IS A USE CASE?

A “Use Case” is a request that was made by the user community because there were no available datasets that met their particular needs.  If this use case is similar to your needs, we ask that you add your own requirements to the specifications section.

The concept of a use case falls within the http://hhs.ddod.us Demand-Driven Open Data (DDOD) program and gives you a formalized way to identify what data you need.  It’s for anyone in industry, research, media, nonprofits or other government agencies.  Each request becomes a DDOD use case, so that it can be prioritized and worked on.

Use Cases also provide a wealth of insights about existing alternative datasets and tips for interpreting and manipulating data for specific purposes.

PURPOSE

This use case was requested with the goal of obtaining a ""single source of truth"" for medical device recalls, rather than trying to reconcile between the two data sources.  It needs to:

Provide unique recall ID to link data from these two sources.
  Provide standardized, consistent product name or registered device key (such as PMA # or 510(k) #)
VALUE

The value of the use case is to helps hospitals more effectively catch devices in their inventory that have been recalled and prevent them from buying potentially unsafe ones.  It improves outcomes and patient safety by lowering probability of hospitals being unaware of devices have been recalled.

USE CASE SPECIFICATIONS &amp; SOLUTION

Information about this use cases is maintained in a wiki: http://hhs.ddod.us/wiki/Use_Case_6:_Consolidated_reporting_of_medical_device_recallshttp://hhs.ddod.us/wiki/Use_Case_6:_Consolidated_reporting_of_medical_de...

It serves as a knowledge base.

USE CASE DISCUSSION FORUM

All communications between Data Users, DDOD Administrators and Data Owners are logged as discussions within GitHub issues: https://github.com/demand-driven-open-data/ddod-intake/issues/6https://github.com/demand-driven-open-data/ddod-intake/issues/6

It aims to provide complete transparency into the process and ensure the same message gets to all participants.

CASE STATUS

Closed via openFDA.gov API, which includes medical device recall information as of September 2015.
","David Portnoy","org:Organization",,,,"vcard-Contact",,"public",,"http://opendefinition.org/licenses/odc-odbl/",,,"U.S. Food and Drug Administration",,"mailto-david.portnoy@hhs.ov",,,,"R/P1D",,"bbc9fbb6-f473-4db9-9582-0364efd3a88c","[""cdrh"",""DDOD use case"",""fda"",""medical devices"",""recalls"",""user request""]","[""009:10""]","[""en""]","[""009:000""]",
,,,"2016-04-05","Department of Health & Human Services",,"#DDOD Use Case: Improve National Death Registry for use with outcomes research",,"org:Organization",,,,,"dcat:Dataset","http://www.cdc.gov/nchs/data/ndi/ndi_users_guide_chapter2.pdf",,"SUMMARY

DDOD use case request to improve National Death Registry for use with outcomes research.

WHAT IS A USE CASE?

A “Use Case” is a request that was made by the user community because there were no available datasets that met their particular needs.  If this use case is similar to your needs, we ask that you add your own requirements to the specifications section.

The concept of a use case falls within the http://hhs.ddod.us Demand-Driven Open Data (DDOD) program and gives you a formalized way to identify what data you need.  It’s for anyone in industry, research, media, nonprofits or other government agencies.  Each request becomes a DDOD use case, so that it can be prioritized and worked on.

Use Cases also provide a wealth of insights about existing alternative datasets and tips for interpreting and manipulating data for specific purposes.

PURPOSE

PCORnet funded outcomes research often relies on NDI for mortality events not captured within the medical system
Example: ""Aspirin trial"": Optimal maintenance dose of aspirin for secondary prevention of coronary artery disease (CAD)
Example: Comparative Effectiveness of Liver Transplant Strategies for End-Stage Liver Disease Patients on Renal Replacement Therapy

VALUE

Complete data is a requirement in order to conduct research.  In addition, mortality events outside of healthcare setting don't always get captured.  This data would be useful in many comparative effectiveness research studies, regardless of whether funded by PCORI.

USE CASE SPECIFICATIONS &amp; SOLUTION

Information about this use cases is maintained in a wiki: http://hhs.ddod.us/wiki/Use_Case_7:_National_death_registry_for_outcomes_researchhttp://hhs.ddod.us/wiki/Use_Case_7:_National_death_registry_for_outcomes...

It serves as a knowledge base.

USE CASE DISCUSSION FORUM

All communications between Data Users, DDOD Administrators and Data Owners are logged as discussions within GitHub issues: https://github.com/demand-driven-open-data/ddod-intake/issues/7https://github.com/demand-driven-open-data/ddod-intake/issues/7

It aims to provide complete transparency into the process and ensure the same message gets to all participants.

CASE STATUS

Closed
","David Portnoy","org:Organization",,,,"vcard-Contact",,"public",,"http://opendefinition.org/licenses/odc-odbl/",,,"Centers for Disease Control and Prevention",,"mailto-david.portnoy@hhs.gov",,,,,,"6502f60b-b574-42ca-bd8e-3eba8dfc2de3","[""cdc"",""comparative effectivness"",""DDOD use case"",""national death registry"",""NDI"",""PCORI"",""user request""]","[""009:20""]","[""en""]","[""009:000""]",
,,,"2016-04-05","Department of Health & Human Services",,"#DDOD Use Case: Make VBM (Value-Based Payment Modifier) reporting for all groups publicly available",,"org:Organization",,,,,"dcat:Dataset","http://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/PhysicianFeedbackProgram/Downloads/2013-Detailed-Methodology.pdf",,"SUMMARY

DDOD use case request to make Value-Based Payment Modifier (VBM) reporting more transparent for everyone.

WHAT IS A USE CASE?

A “Use Case” is a request that was made by the user community because there were no available datasets that met their particular needs.  If this use case is similar to your needs, we ask that you add your own requirements to the specifications section.

The concept of a use case falls within the http://hhs.ddod.us Demand-Driven Open Data (DDOD) program and gives you a formalized way to identify what data you need.  It’s for anyone in industry, research, media, nonprofits or other government agencies.  Each request becomes a DDOD use case, so that it can be prioritized and worked on.

Use Cases also provide a wealth of insights about existing alternative datasets and tips for interpreting and manipulating data for specific purposes.

PURPOSE

Value-Based Payment Modifier (VBM) reporting provides the quality composite and cost composite scores for each provider groups and performance year.  But currently, these scores are only available within each group's private QRUR report. This use case requests that data for all providers be made readily available, so that providers have the ability to benchmark and compare across their peer groups.

VALUE

Greater transparency to provider quality and cost rankings helps consumers make smarter choices.  Earlier and broader visibility into metrics, might have a ""peer pressure"" effect on providers to improve quality.  It may also deliver insights for providers and assist them in Meaningful Use attestation.

USE CASE SPECIFICATIONS &amp; SOLUTION

Information about this use cases is maintained in a wiki: http://hhs.ddod.us/wiki/Use_Case_4http://hhs.ddod.us/wiki/Use_Case_4

It serves as a knowledge base.

USE CASE DISCUSSION FORUM

All communications between Data Users, DDOD Administrators and Data Owners are logged as discussions within GitHub issues: https://github.com/demand-driven-open-data/ddod-intake/issues/4https://github.com/demand-driven-open-data/ddod-intake/issues/4

It aims to provide complete transparency into the process and ensure the same message gets to all participants.

CASE STATUS

Closed. CMS has a stated promise to keep each provider's data confidential. In addition, the Value Modifier is being sunsetted as an independent payment adjuster.
","David Portnoy","org:Organization",,,,"vcard-Contact",,"public",,"http://opendefinition.org/licenses/odc-odbl/",,,"Centers for Medicare & Medicaid Services",,"mailto-david.portnoy@hhs.gov",,,,,,"58057920-eed6-4086-bf83-5efa3e582e14","[""cms"",""DDOD use case"",""healthcare cost"",""provider quality"",""user request""]","[""009:38""]","[""en""]","[""009:000""]",
,,,"2016-04-05","Department of Health & Human Services",,"#DDOD: Establishment Registration &amp; Device Listing",,"org:Organization",,,,,"dcat:Dataset","http://www.fda.gov/MedicalDevices/DeviceRegulationandGuidance/HowtoMarketYourDevice/RegistrationandListing/ucm134495.htm",,"SUMMARY

DDOD use case to request means on consolidating multiple data sources (MDR, PMA, 510(k), R&amp;L) in order to build a list of all marketed medical devices.

WHAT IS A USE CASE?

A “Use Case” is a request that was made by the user community because there were no available datasets that met their particular needs.  If this use case is similar to your needs, we ask that you add your own requirements to the specifications section.

The concept of a use case falls within the http://hhs.ddod.us Demand-Driven Open Data (DDOD) program and gives you a formalized way to identify what data you need.  It’s for anyone in industry, research, media, nonprofits or other government agencies.  Each request becomes a DDOD use case, so that it can be prioritized and worked on.

Use Cases also provide a wealth of insights about existing alternative datasets and tips for interpreting and manipulating data for specific purposes.

PURPOSE

The US Food and Drug Administration (FDA) Center for Devices and Radiological Health (CDRH) has multiple data sources for registered medical devices, including http://www.fda.gov/MedicalDevices/Safety/ReportaProblem/default.htmMedical Device Reporting (MDR), http://www.fda.gov/Medicaldevices/Deviceregulationandguidance/Howtomarketyourdevice/Premarketsubmissions/Premarketapprovalpma/Default.HtmPremarket Approval (PMA), http://www.fda.gov/MedicalDevices/ProductsandMedicalProcedures/DeviceApprovalsandClearances/510kClearances/510(k), and https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfrl/rl.cfmEstablishment Registration and Device Listing (R&amp;L).  There are a number of challenges associated with the data, including:

A single marketed product often has multiple 510(k)s
  A PMA might represent multiple marketed products over the course of the evolution of the device
  510(k) and PMA downloads only include class II and III devices, omitting class I
The only current way to consolidate the information across these various databases in a reliable manner is via FOIA request.  There have already been multiple requests for this data at regular refresh intervals.

VALUE

A single source for all registered medical devices is needed for core services on medical device insights provided to hospitals.  In addition, without a single source of data, it is difficult for hospitals to understand the available substitutes for a given device.

USE CASE SPECIFICATIONS &amp; SOLUTION

Information about this use cases is maintained in a wiki: http://hhs.ddod.us/wiki/Use_Case_5:_Consolidated_registry_of_marketed_medical_deviceshttp://hhs.ddod.us/wiki/Use_Case_5:_Consolidated_registry_of_marketed_me...

It serves as a knowledge base.

USE CASE DISCUSSION FORUM

All communications between Data Users, DDOD Administrators and Data Owners are logged as discussions within GitHub issues: https://github.com/demand-driven-open-data/ddod-intake/issues/5https://github.com/demand-driven-open-data/ddod-intake/issues/5

It aims to provide complete transparency into the process and ensure the same message gets to all participants.

CASE STATUS

Closed via openFDA.gov API, which includes medical device registration and listing as of September 2015.
","David Portnoy","org:Organization",,,,"vcard-Contact",,"public",,"http://opendefinition.org/licenses/odc-odbl/",,,"U.S. Food and Drug Administration",,"mailto-david.portnoy@hhs.gov",,,,"R/P1D",,"7b744c79-fa97-4585-8a4e-514fc40a61de","[""cdrh"",""DDOD use case"",""fda"",""medical device registry"",""medical devices"",""user request""]","[""009:10""]","[""en""]","[""009:000""]",
,,,"2016-05-02","Department of Health & Human Services",,"1990 through 2011 National Survey on Drug Use and Health (NSDUH)","1989-12-31T19:00:00-05:00/2011-12-30T19:00:00-05:00","org:Organization",,,,,"dcat:Dataset","http://www.icpsr.umich.edu/icpsrweb/SAMHDA/ssvd/series/64/variables",,"The National Survey on Drug Use and Health (NSDUH) series (formerly titled National Household Survey on Drug Abuse) is the general civilian population aged 12 and older in the United States. Questions include age at first use, as well as lifetime, annual, and past-month usage for the following drugs: alcohol, marijuana, cocaine (including crack), hallucinogens, heroin, inhalants, tobacco, pain relievers, tranquilizers, stimulants, and sedatives. The survey covers substance abuse treatment history and perceived need for treatment, and includes questions from the Diagnostic and Statistical Manual (DSM) of Mental Disorders that allow diagnostic criteria to be applied. Respondents were also asked about personal and family income sources and amounts, health care access and coverage, illegal activities and arrest record, problems resulting from the use of drugs, perceptions of risks, and needle-sharing. Demographic data include gender, race, age, ethnicity, educational level, job status, income level, veteran status, household composition, and population density.

The questionnaire was significantly redesigned in 1994. The 1994 survey for the first time included a rural population supplement to allow separate estimates to be calculated for this population. Other modules have been added each year and retained in subsequent years: mental health and access to care (1994-B); risk/availability of drugs (1996); cigar smoking and new questions on marijuana and cocaine use (1997); question series asked only of respondents aged 12 to 17 (1997); questions on tobacco brand (1999); marijuana purchase questions (2001); prior marijuana and cigarette use, additional questions on drug treatment, adult mental health services, and social environment (2003); and adult and adolescent depression questions derived from the National Comorbidity Survey, Replication (NCS-R) and National Comorbidity Survey, Adolescent (NCS-A) (2004).

Survey administration and sample design were improved with the implementation of the 1999 survey, and additional improvements were made in 2002. Since 1999, the survey sample has employed a 50-state design with an independent, multistage area probability sample for each of the 50 states and the District of Columbia. At this time, the collection mode of the survey changed from personal interviews and self-enumerated answer sheets to using computer-assisted personal interviews and audio computer-assisted self interviews. In 2002, the survey's title was officially changed to the National Survey on Drug Use and Health (NSDUH). Participants have been given $30 for participating in the study since then. This has resulted in an increase in participation rates from the years prior to 2002. Also, since 2002 the new population data from the 2000 decennial census has been used for sample weighting procedures. For these reasons, data gathered for 2002 and beyond cannot validly be compared to data prior to 2002.

The NSDUH is sponsored by the Center for Behavioral Health Statistics and Quality, Substance Abuse and Mental Health Services Administration.
","admin","org:Organization",,,,"vcard-Contact",,"public",,"http://opendefinition.org/licenses/odc-odbl/",,,"Substance Abuse & Mental Health Services Administration",,"mailto-HealthData@hhs.gov",,,,,,"c3f3d29f-4fdb-4ece-9ba5-8c9f38de5a2d","[""addiction"",""alcohol"",""alcohol abuse"",""alcohol consumption"",""amphetamines"",""barbiturates"",""cocaine"",""controlled drugs"",""crack cocaine"",""demographics"",""depression"",""drinking behavior"",""drug abuse"",""drug dependence"",""drug treatment"",""drug use"",""drugs"",""employment"",""hallucinogens"",""health care"",""heroin"",""households"",""income"",""inhalants"",""marijuana"",""mental health"",""mental health services"",""methamphetamine"",""pain relievers"",""pregnancy"",""prescription drugs"",""sedatives"",""smoking"",""stimulants"",""substance abuse"",""substance abuse treatment"",""tobacco use"",""tranquilizers"",""youths""]","[""000:00""]","[""en""]","[""009:000""]",
,,,"2016-05-02","Department of Health & Human Services",,"1992 through 2010 Treatment Episode Data Set - Admissions (TEDS-A)","1991-12-31T19:00:00-05:00/2010-12-29T19:00:00-05:00","org:Organization",,,,,"dcat:Dataset","http://www.icpsr.umich.edu/icpsrweb/SAMHDA/ssvd/series/56/variables",,"The Treatment Episode Data Set (TEDS) is an administrative data system providing descriptive information about the national flow of admissions to providers of substance abuse treatment. The TEDS is a continuation of the former Client Data System (CDS) that was originally developed by the Alcohol, Drug Abuse, and Mental Health Services Administration (predecessor to SAMHSA) in consultation with representatives of the state substance abuse agencies and appropriate national organizations. TEDS is one of the three components of SAMHSA's Behavioral Health Services Information System (BHSIS, formerly Drug and Alcohol Services Information System (DASIS)). The core of BHSIS is the Inventory of Substance Abuse Treatment Services (I-SATS), formerly known as the National Master Facility Inventory (NMFI). The I-SATS is a continuously-updated comprehensive listing of all known substance abuse treatment facilities. The third component of BHSIS is the National Survey of Substance Abuse Treatment Services (N-SSATS), formerly called the Uniform Facility Data Set (UFDS) survey. The N-SSATS is an annual survey of the location, characteristics, and utilization of alcoholism and drug abuse treatment facilities. The N-SSATS/UFDS is available from the SAMHDA Web site. Together, they provide national- and state-level information on the numbers and characteristics of individuals admitted to alcohol and drug treatment and describe the facilities that deliver care to those individuals. TEDS includes facilities that are licensed or certified by the state substance abuse agency to provide substance abuse treatment (or are administratively tracked for other reasons), and that are required by the states to provide TEDS client-level data. While compromising a significant proportion of all admissions to substance abuse treatment, TEDS does not include all such admissions. The scope of admissions included in TEDS is affected by differences in state reporting practices, varying definitions of treatment admission, availability of public funds, and public funding constraints. In 1997, TEDS was estimated to include 83 percent of TEDS-eligible admissions and 67 percent of all known admissions. See the full documentation for additional information.

The TEDS series was designed to provide annual data on the number and characteristics of persons admitted to public and private substance abuse treatment programs receiving public funding. TEDS includes both Minimum Data Set (MDS) data (required reporting) and Supplemental Data Set (SuDS) data (optional reporting), as reported to state substance abuse agencies by the treatment programs. Additional variables, such as calculated age and census region, are added to the state data. TEDS provides information on service setting, number of prior treatments, primary source of referral, employment status, whether methadone was prescribed in treatment, presence of psychiatric problems, living arrangements, health insurance, substance(s) abused, route of administration, age at first use, pregnancy and veteran status, number of days waiting to enter treatment, and demographic variables.

The TEDS data collection effort began in 1989 with three-year development grants to states. Within each state, treatment providers that receive any state agency funding, including the federal Substance Abuse Prevention and Treatment (SAPT) Block Grant monies, are expected to provide TEDS data for all clients admitted to treatment, regardless of the source of funding for individual clients.

TEDS is sponsored by the Center for Behavioral Health Statistics and Quality at the Substance Abuse and Mental Health Services Administration.
","admin","org:Organization",,,,"vcard-Contact",,"public",,"http://opendefinition.org/licenses/odc-odbl/",,,"Substance Abuse & Mental Health Services Administration",,"mailto-HealthData@hhs.gov",,,,,,"0e0921f7-7874-48df-a0ef-225dabd99604","[""alcohol abuse"",""drug abuse"",""drug treatment"",""health care services"",""health insurance"",""intervention"",""mental health"",""substance abuse"",""substance abuse treatment"",""treatment admissions"",""treatment programs""]","[""000:00""]","[""en""]","[""009:000""]",
,,,"2016-05-02","Department of Health & Human Services",,"1997 through 2010 National Survey of Substance Abuse Treatment Services (N-SSATS)","1997-01-09T19:00:00-05:00/2010-03-09T19:00:00-05:00","org:Organization",,,,,"dcat:Dataset","http://www.icpsr.umich.edu/icpsrweb/SAMHDA/ssvd/series/58/variables",,"The National Survey of Substance Abuse Treatment Services (N-SSATS) (formerly titled Uniform Facility Data Set (UFDS)) is designed to collect information from all facilities in the United States, both public and private, that provides substance abuse treatment. N-SSATS is one of three components of SAMHSA's Behavioral Health Services Information System (BHSIS, formerly Drug and Alcohol Services Information System (DASIS)) and is designed to provide the mechanism for quantifying the dynamic character and composition ofthe United States substance abuse treatment delivery system. In 1995, SAMHSA created BHSIS (formerly DASIS) to facilitate the integration of its existing treatment service's datasets and to reduce redundancy in data collection and reporting. The other two BHSIS components are the Inventory of Substance Abuse Treatment Services (I-SATS) and the Treatment Episode Data Set (TEDS). The I-SATS is a comprehensive listing of all known substance abuse treatment facilities in the United States. The TEDS is a client-level database of individuals admitted to publicly funded substance abuse treatment facilities and is available from the SAMHDA Web site. Together, these three BHSIS components provide national- and state-level data on persons receiving alcohol and substance abuse treatment as well as data on the facilities providing the treatment.

Data collected in N-SSATS include topics covering ownership, services offered (assessment and pre-treatment, testing, transitional, ancillary, pharmacotherapies), primary focus (substance abuse, mental health, both, general health, other), hotline operation, methadone/Levo-Alpha Acetyl Methadol (LAAM)/buprenorphine dispensing, counseling and therapeutic approaches, special programs or groups, languages in which treatment is provided, type of treatment provided, number of clients (total and under age 18), number of beds, types of payment accepted, sliding fee scale, and facility accreditation and licensure/certification.

The data elements and format that make up the core of the N-SSATS were first used in 1976 as part of survey efforts designed to measure the scope and use of drug abuse treatment services in the United States. This core was used throughout the 1970s and 1980s in several different surveys. In 1987 the first administration of the National Drug and Alcoholism Treatment Unit Survey (NDATUS) took place, and then occurred annually from 1989 to 1993. After the creation of the Substance Abuse and Mental Health Services Administration (SAMHSA) in 1992, NDATUS was redesigned as the Uniform Facility Data Set (UFDS), which was conducted from 1995 to 1998. In 1999, an abbreviated survey was conducted and the survey was redesigned. The 1999 study is not publicly available. In 2000, the full survey was conducted and renamed the National Survey of Substance Abuse Treatment Services (N-SSATS).

N-SSATS is a point-prevalence survey. It provides information on the substance abuse treatment system and its clients on the reference date. Client counts reported here do not represent annual totals. Rather, N-SSATS provides a ""snapshot"" of substance abuse treatment facilities and clients on an average day. Through 2000, the N-SSATS reference date was October 1. In 2001, SAMHSA changed the reference date to the last business day in March. This change helped increase the timeliness of responses by individual facilities, but resulted in no data being collected for 2001. Therefore, 2002 marked the first year data were collected using the new reference date.

The N-SSATS is sponsored by the Center for Behavioral Health Statistics and Quality at the Substance Abuse and Mental Health Services Administration.
","admin","org:Organization",,,,"vcard-Contact",,"public",,"http://opendefinition.org/licenses/odc-odbl/",,,"Substance Abuse & Mental Health Services Administration",,"mailto-HealthData@hhs.gov",,,,,,"f5e2cefa-4483-4724-bd3c-2934344d5834","[""alcohol abuse"",""drug abuse"",""drug treatment"",""health care services"",""hiv"",""intervention"",""substance abuse"",""substance abuse treatment"",""treatment facilities"",""treatment programs""]","[""000:00""]","[""en""]","[""009:000""]",
,,,"2016-05-02","Department of Health & Human Services",,"2004 through 2010 Drug Abuse Warning Network (DAWN)","2003-12-31T19:00:00-05:00/2010-12-30T19:00:00-05:00","org:Organization",,,,,"dcat:Dataset","http://www.icpsr.umich.edu/icpsrweb/SAMHDA/ssvd/series/97/variables",,"The Drug Abuse Warning Network (DAWN) is a nationally representative public health surveillance system that continuously monitors drug-related visits to hospital emergency departments (EDs). A DAWN case is any ED visit involving recent drug use that is implicated in the ED visit. DAWN captures both ED visits that are directly caused by drugs and those in which drugs are a contributing factor but not the direct cause of the ED visit. Annually, DAWN produces estimates of drug-related visits to hospital EDs for the nation as a whole and for selected metropolitan areas.

DAWN is used to monitor trends in drug misuse and abuse, identify the emergence of new substances and drug combinations, assess health hazards associated with drug abuse, and estimate the impact of drug misuse and abuse on the Nation's health care system. DAWN relies on a longitudinal probability sample of hospitals located throughout the United States. To be eligible for selection into the DAWN sample, a hospital must be a non-federal, short-stay, general surgical and medical hospital located in the United States, with at least one 24-hour ED. The dataset includes demographics, up to 16 drugs involved in the ED visit, toxicology confirmation, route of administration, type of case, and disposition of the patient following the visit.
","admin","org:Organization",,,,"vcard-Contact",,"public",,"http://opendefinition.org/licenses/odc-odbl/",,,"Substance Abuse & Mental Health Services Administration",,"mailto-HealthData@hhs.gov",,,,,,"4f47324e-307a-414b-9d3a-8ef27bb60860","[""Drug Related Emergency Department Visits""]","[""000:00""]","[""en""]","[""009:000""]",
